time,vx,error_vx,duty_cycle
0.0,0.06999999999999999,0.5,1.0
0.01,0.1264349475609756,0.43,1.0
0.02,0.1821187769095949,0.3735650524390244,1.0
0.03,0.2370609520611342,0.3178812230904051,1.0
0.04,0.29127083226831,0.2629390479388658,1.0
0.05,0.3447576727798153,0.20872916773168998,1.0
0.06,0.39753062560541796,0.15524232722018472,1.0
0.07,0.4495987402871501,0.10246937439458204,1.0
0.08,0.5009709646761273,0.05040125971284992,1.0
0.09,0.4883153939035403,-0.0009709646761273394,0.0
0.1,0.5313166965373252,0.011684606096459715,0.8763454572344787
0.11,0.5186584516345918,-0.03131669653732516,0.0
0.12,0.5060013413159801,-0.01865845163459179,0.0
0.13,0.49334533812693254,-0.006001341315980069,0.0
0.14,0.5123543523321162,0.006654661873067458,0.49909964048005934
0.15,0.49969779685801285,-0.012354352332116236,0.0
0.16,0.48847835149143193,0.00030220314198714515,0.022665235649035886
0.17,0.5307015734776847,0.011521648508568072,0.8641236381426054
0.18,0.5180433843420671,-0.03070157347768465,0.0
0.19,0.5053863284562571,-0.018043384342067093,0.0
0.2,0.4927303783661725,-0.0053863284562570835,0.0
0.21,0.5146699774069448,0.007269621633827494,0.5452216225370621
0.22,0.5020132189154873,-0.014669977406944756,0.0
0.23,0.48935755890446586,-0.002013218915487336,0.0
0.24,0.527383704612013,0.010642441095534139,0.7981830821650604
0.25,0.5147258151607541,-0.027383704612013005,0.0
0.26,0.5020690517625401,-0.014725815160754108,0.0
0.27,0.489413386965843,-0.0020690517625401306,0.0
0.28,0.5271730780498675,0.010586613034156978,0.7939959775617733
0.29,0.514515207559873,-0.02717307804986746,0.0
0.3,0.5018584626660721,-0.014515207559873011,0.0
0.31,0.4892028159170984,-0.001858462666072147,0.0
0.32,0.5279675471468135,0.01079718408290159,0.8097888062176193
0.33,0.5153096050966198,-0.027967547146813487,0.0
0.34,0.5026527903658425,-0.015309605096619827,0.0
0.35000000000000003,0.4899970755025055,-0.002652790365842539,0.0
0.36,0.5249713262299552,0.010002924497494514,0.7502193373120886
0.37,0.5123136534951559,-0.024971326229955237,0.0
0.38,0.4996571015810473,-0.012313653495155896,0.0
0.39,0.4886310504598302,0.00034289841895268625,0.02571738142145147
0.4,0.530125222122391,0.011368949540169815,0.8526712155127361
0.41000000000000003,0.5174670851802213,-0.030125222122390993,0.0
0.42,0.5048100802376638,-0.01746708518022133,0.0
0.43,0.4921541798410813,-0.004810080237663827,0.0
0.44,0.5168403316135604,0.007845820158918715,0.5884365119189037
0.45,0.504183382009918,-0.016840331613560355,0.0
0.46,0.4915275355931025,-0.004183382009917969,0.0
0.47000000000000003,0.5192014499980143,0.008472464406897473,0.6354348305173105
0.48,0.506544291570944,-0.01920144999801432,0.0
0.49,0.49388824145100185,-0.00654429157094405,0.0
0.5,0.5103106817153918,0.006111758548998147,0.45838189117486106
0.51,0.49765430465511,-0.010310681715391845,0.0
0.52,0.4961501307775233,0.0023456953448899864,0.17592715086674898
0.53,0.5018024941701673,0.0038498692224767095,0.2887401916857532
0.54,0.4891468522164833,-0.0018024941701673125,0.0
0.55,0.5281787089472851,0.010853147783516703,0.8139860837637527
0.56,0.5155207478589913,-0.028178708947285136,0.0
0.5700000000000001,0.5028639145481338,-0.015520747858991268,0.0
0.58,0.4902081815625743,-0.002863914548133839,0.0
0.59,0.5241751729821787,0.009791818437425714,0.7343863828069286
0.6,0.5115175715518886,-0.02417517298217875,0.0
0.61,0.4988610892155222,-0.011517571551888595,0.0
0.62,0.4916185540579117,0.001138910784477809,0.08541830883583568
0.63,0.518858455028239,0.008381445942088284,0.6286084456566212
0.64,0.5062013269956234,-0.01885845502823902,0.0
0.65,0.4935453065263043,-0.0062013269956233685,0.0
0.66,0.5116015356933458,0.006454693473695705,0.4841020105271779
0.67,0.4989450460235986,-0.011601535693345766,0.0
0.68,0.4913033972650367,0.0010549539764013738,0.07912154823010303
0.6900000000000001,0.520046165721339,0.00869660273496331,0.6522452051222483
0.7000000000000001,0.5073889323542491,-0.020046165721338993,0.0
0.71,0.49473280912619144,-0.007388932354249089,0.0
0.72,0.50713261321267,0.005267190873808558,0.39503931553564187
0.73,0.49447651218325916,-0.007132613212670003,0.0
0.74,0.5080968962743418,0.005523487816740835,0.41426158625556264
0.75,0.4954407116744391,-0.008096896274341847,0.0
0.76,0.5044699047183487,0.004559288325560906,0.34194662441706797
0.77,0.49181403363062476,-0.004469904718348738,0.0
0.78,0.5181218635156686,0.008185966369375242,0.6139474777031431
0.79,0.5054648006881299,-0.01812186351566858,0.0
0.8,0.49280884382650625,-0.005464800688129934,0.0
0.81,0.5143744745050794,0.007191156173493751,0.5393367130120313
0.8200000000000001,0.5017177419721507,-0.014374474505079449,0.0
