time,vx,error_vx,duty_cycle
0.0,0.0595,0.5,0.85
0.01,0.09869277501829268,0.4405,0.74885
0.02,0.13291835516911207,0.40130722498170734,0.6822222824689025
0.03,0.16286283870508345,0.3670816448308879,0.6240387962125095
0.04,0.1891049834058896,0.33713716129491655,0.5731331742013581
0.05,0.2121357400803569,0.3108950165941104,0.5285215282099877
0.06,0.23237364968314367,0.2878642599196431,0.48936924186339326
0.07,0.2501771027207321,0.26762635031685633,0.45496479553865576
0.08,0.26585419137551325,0.24982289727926787,0.4246989253747554
0.09,0.2796706951916975,0.23414580862448675,0.39804787466162744
0.1,0.29185660537790453,0.22032930480830248,0.3745598181741142
0.11,0.30261149431958,0.20814339462209547,0.3538437708575623
0.12,0.31210896468044563,0.19738850568042,0.335560459656714
0.13,0.3205003589443622,0.18789103531955437,0.31941476004324243
0.14,0.32791787017720414,0.17949964105563782,0.3051493897945843
0.15,0.3344771645101213,0.17208212982279586,0.29253962069875294
0.16,0.34027960276643776,0.16552283548987867,0.2813888203327937
0.17,0.3454141309166658,0.15972039723356224,0.2715246752970558
0.18,0.3499588953060784,0.15458586908333422,0.26279597744166816
0.19,0.3539826278760261,0.15004110469392162,0.25506987797966674
0.2,0.35754583817121605,0.14601737212397392,0.24822953261075567
0.21,0.3607018422539252,0.14245416182878395,0.2421720751089327
0.22,0.3634976533310211,0.1392981577460748,0.23680686816832713
0.23,0.3659747546379301,0.13650234666897892,0.23205398933726418
0.24,0.36816977168545023,0.1340252453620699,0.2278429171155188
0.25,0.37011505818486573,0.13183022831454977,0.2241113881347346
0.26,0.3718392076890696,0.12988494181513427,0.22080440108572824
0.27,0.3733675011177779,0.12816079231093042,0.2178733469285817
0.28,0.3747222987920677,0.1266324988822221,0.21527524809977758
0.29,0.37592338432369604,0.1252777012079323,0.2129720920534849
0.3,0.37698826663784846,0.12407661567630396,0.2109302466497167
0.31,0.37793244551447047,0.12301173336215154,0.20911994671565762
0.32,0.37876964528162127,0.12206755448552953,0.20751484262540018
0.33,0.37951202065914913,0.12123035471837873,0.20609160302124382
0.34,0.3801703382121721,0.12048797934085087,0.20482956487944648
0.35000000000000003,0.3807541364150024,0.11982966178782789,0.20371042503930742
0.36,0.38127186693401477,0.11924586358499761,0.20271796809449594
0.37,0.3817310194017081,0.11872813306598523,0.2018378262121749
0.38,0.38213823166498456,0.11826898059829188,0.2010572670170962
0.39,0.3824993872411815,0.11786176833501544,0.20036500616952624
0.4,0.38281970149960115,0.11750061275881851,0.19975104168999147
0.41000000000000003,0.3831037978991882,0.11718029850039885,0.19920650745067803
0.42,0.38335577545042127,0.11689620210081181,0.19872354357138006
0.43,0.3835792684279139,0.11664422454957873,0.19829518173428384
0.44,0.3837774992367129,0.1164207315720861,0.19791524367254637
0.45,0.3839533252273516,0.1162225007632871,0.19757825129758808
0.46,0.3841092801602523,0.1160466747726484,0.19727934711350228
0.47000000000000003,0.3842476109372771,0.11589071983974769,0.19701422372757108
0.48,0.38437031014556955,0.1157523890627229,0.1967790614066289
0.49,0.384479144894996,0.11562968985443045,0.19657047275253176
0.5,0.38457568237435547,0.11552085510500398,0.19638545367850677
0.51,0.38466131250210733,0.11542431762564453,0.1962213399635957
0.52,0.3847372680038293,0.11533868749789267,0.19607576874641752
0.53,0.3848046422102313,0.11526273199617071,0.1959466443934902
0.54,0.38486440483568524,0.1151953577897687,0.19583210824260677
0.55,0.3849174159673353,0.11513559516431476,0.1957305117793351
0.56,0.384964438468448,0.11508258403266469,0.19564039285552998
0.5700000000000001,0.3850061489763283,0.11503556153155198,0.19556045460363836
0.58,0.3850431476545009,0.11499385102367171,0.1954895467402419
0.59,0.38507596684061407,0.11495685234549913,0.19542664898734852
0.6,0.3851050787153853,0.11492403315938593,0.19537085637095608
0.61,0.3851309021036263,0.1148949212846147,0.195321366183845
0.62,0.38515380850574604,0.11486909789637367,0.19527746642383523
0.63,0.3851741274469353,0.11484619149425396,0.19523852554023172
0.64,0.3851921512213285,0.1148258725530647,0.19520398334021
0.65,0.3852081390996568,0.1148078487786715,0.19517334292374156
0.66,0.3852223210611318,0.11479186090034321,0.19514616353058345
0.67,0.3852349011034081,0.1147776789388682,0.19512205419607592
0.68,0.3852460601783667,0.11476509889659192,0.19510066812420626
0.6900000000000001,0.38525595879605173,0.11475393982163329,0.19508169769677658
0.7000000000000001,0.38526473933429545,0.11474404120394827,0.19506487004671205
0.71,0.38527252808731643,0.11473526066570455,0.19504994313169774
0.72,0.38527943708280715,0.11472747191268357,0.19503670225156206
0.73,0.3852855656936859,0.11472056291719285,0.19502495695922784
0.74,0.3852910020677262,0.11471443430631412,0.19501453832073398
0.75,0.385295824395651,0.11470899793227379,0.19500529648486545
0.76,0.38530010203594883,0.11470417560434898,0.19499709852739325
0.77,0.3853038965126059,0.11469989796405117,0.19498982653888697
0.78,0.3853072624001158,0.11469610348739412,0.19498337592856999
0.79,0.3853102481085052,0.11469273759988419,0.19497765391980312
0.8,0.3853128965796729,0.11468975189149477,0.19497257821554112
0.81,0.38531524590506366,0.11468710342032712,0.1949680758145561
0.8200000000000001,0.3853173298735657,0.11468475409493634,0.19496408196139176
0.8300000000000001,0.38531917845751373,0.1146826701264343,0.1949605392149383
0.84,0.385320818243792,0.11468082154248627,0.19495739662222664
0.85,0.38532227281623876,0.114679181756208,0.1949546089855536
0.86,0.38532356309485444,0.11467772718376124,0.1949521362123941
0.87,0.3853247076366927,0.11467643690514556,0.19494994273874744
0.88,0.3853257229027635,0.11467529236330731,0.19494799701762242
0.89,0.38532662349478786,0.11467427709723649,0.19494627106530202
0.9,0.38532742236520917,0.11467337650521214,0.19494474005886064
0.91,0.385328131003483,0.11467257763479083,0.1949433819791444
0.92,0.3853287596013244,0.11467186899651699,0.19494217729407887
0.93,0.38532931719928964,0.1146712403986756,0.19494110867774853
0.9400000000000001,0.3853298118168014,0.11467068280071036,0.1949401607612076
0.9500000000000001,0.38533025056748693,0.11467018818319857,0.19493931991143756
0.96,0.3853306397614884,0.11466974943251307,0.1949385740352722
0.97,0.38533098499621726,0.1146693602385116,0.1949379124054697
0.98,0.3853312912368576,0.11466901500378274,0.19493732550643064
0.99,0.3853315628877766,0.11466870876314239,0.19493680489734205
1.0,0.38533180385586885,0.11466843711222341,0.19493634309077978
1.01,0.38533201760674607,0.11466819614413115,0.19493593344502294
1.02,0.38533220721458006,0.11466798239325393,0.19493557006853168
1.03,0.38533237540631593,0.11466779278541994,0.1949352477352139
1.04,0.3853325246008913,0.11466762459368407,0.19493496180926292
1.05,0.38533265694402563,0.11466747539910871,0.1949347081784848
1.06,0.38533277433908025,0.11466734305597437,0.1949344831951564
1.07,0.38533287847443276,0.11466722566091975,0.19493428362356358
1.08,0.38533297084775914,0.11466712152556724,0.1949341065934643
1.09,0.3853330527875737,0.11466702915224086,0.19493394955880947
1.1,0.3853331254723356,0.11466694721242632,0.19493381026112475
1.11,0.3853331899473978,0.11466687452766439,0.19493368669702946
1.12,0.385333247140041,0.11466681005260221,0.19493357708942374
1.1300000000000001,0.3853332978728103,0.11466675285995898,0.19493347986193024
1.1400000000000001,0.38533334287534443,0.11466670212718971,0.1949333936162225
1.1500000000000001,0.38533338279487017,0.11466665712465557,0.19493331711191447
