time,vx,error_vx,duty_cycle
0.0,0.15603573170731708,0.4,1.0
0.01,0.21132537344380534,0.3439642682926829,1.0
0.02,0.2658783336151715,0.2886746265561947,1.0
0.03,0.3197039162656771,0.2341216663848285,1.0
0.04,0.37281132184021226,0.18029608373432288,1.0
0.05,0.4252096479526796,0.12718867815978774,1.0
0.06,0.47690789016022345,0.07479035204732037,1.0
0.07,0.5230566443329362,0.023092109839776553,0.9236843935910621
0.08,0.5103991428966891,-0.023056644332936194,0.0
0.09,0.4977427581284514,-0.010399142896689084,0.0
0.1,0.4908103529342648,0.0022572418715485765,0.09028967486194306
0.11,0.5014884553705715,0.009189647065735218,0.3675858826294087
0.12,0.48883284031330215,-0.0014884553705715176,0.0
0.13,0.5045438188246905,0.011167159686697847,0.4466863874679139
0.14,0.49188794137035147,-0.00454381882469046,0.0
0.15,0.4998252734021088,0.008112058629648533,0.3244823451859413
0.16,0.48761259951180896,0.00017472659789119493,0.006989063915647797
0.17,0.506431230956162,0.012387400488191036,0.49549601952764144
0.18,0.4937751906129692,-0.006431230956162048,0.0
0.19,0.4969154115499936,0.006224809387030794,0.24899237548123176
0.2,0.49208204381503234,0.0030845884500064202,0.12338353800025681
0.21,0.4995258211538833,0.007917956184967656,0.31671824739870624
0.22,0.4880721319486182,0.000474178846116724,0.01896715384466896
0.23,0.5057202615610059,0.011927868051381796,0.47711472205527183
0.24,0.493064282647827,-0.005720261561005913,0.0
0.25,0.49801108290529095,0.006935717352173021,0.27742869408692084
0.26,0.49039807485049103,0.001988917094709053,0.07955668378836211
0.27,0.5021251041420519,0.009601925149508972,0.3840770059803589
0.28,0.4894694345403267,-0.0021251041420519146,0.0
0.29,0.5035597926707746,0.010530565459673291,0.42122261838693165
0.3,0.49090399989938965,-0.003559792670774553,0.0
0.31,0.501343868880419,0.009096000100610346,0.36384000402441385
0.32,0.4886882662008575,-0.0013438688804190413,0.0
0.33,0.5047673567122041,0.01131173379914252,0.4524693519657008
0.34,0.4921114599976819,-0.004767356712204074,0.0
0.35000000000000003,0.4994804427272078,0.00788854000231809,0.3155416000927236
0.36,0.48814177694270866,0.0005195572727921816,0.020782290911687262
0.37,0.5056125293273683,0.01185822305729134,0.4743289222916536
0.38,0.49295655971506724,-0.005612529327368332,0.0
0.39,0.4981771554009981,0.007043440284932756,0.28173761139731024
0.4,0.4901429446298699,0.0018228445990018938,0.07291378396007575
0.41000000000000003,0.5025191722925368,0.009857055370130097,0.39428221480520387
0.42,0.4898634688946143,-0.002519172292536842,0.0
0.43,0.5029509233828134,0.010136531105385704,0.4054612442154282
0.44,0.4902951829264803,-0.002950923382813442,0.0
0.45,0.5022840202654774,0.009704817073519723,0.3881926829407889
0.46,0.4896283370379274,-0.00228402026547736,0.0
0.47000000000000003,0.5033142336827686,0.010371662962072592,0.4148665184829037
0.48,0.4906584620178321,-0.003314233682768619,0.0
0.49,0.5017229875968525,0.009341537982167913,0.37366151928671654
0.5,0.489067352454243,-0.001722987596852521,0.0
0.51,0.5041812676395179,0.010932647545757013,0.4373059018302805
0.52,0.4915254214047073,-0.004181267639517872,0.0
0.53,0.5003846596639006,0.008474578595292714,0.3389831438117086
0.54,0.4877291390095909,-0.00038465966390055506,0.0
0.55,0.5062509046620248,0.012270860990409083,0.4908344396163633
0.56,0.49359487990776507,-0.006250904662024825,0.0
0.5700000000000001,0.49719326061986485,0.006405120092234928,0.25620480368939713
0.58,0.4916548887502377,0.002806739380135148,0.11226957520540592
0.59,0.5001848690970474,0.008345111249762283,0.3338044499904913
0.6,0.48752936550774356,-0.00018486909704740206,0.0
0.61,0.5065600311481038,0.012470634492256438,0.49882537969025753
0.62,0.49390397966693184,-0.006560031148103773,0.0
0.63,0.49671697572851403,0.006096020333068164,0.24384081332272656
